"","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"44",-0.286,-0.903,-1.652,6.934,0.319,8.53,-0.094,2.124,2.985,3.167,-1.652
"45",2.452,-2.634,-1.297,7.938,-2.882,8.689,-0.961,0.996,5.613,3.783,-2.882
"46",1.643,5.924,0.133,6.613,-2.869,3.583,1.17,-1.358,3.648,6.258,-2.869
"47",2.133,8.568,2.573,7.917,-0.041,3.775,1.421,2.819,2.365,0.242,-0.041
"48",3.736,7.587,-0.495,6.81,0.749,11.412,2.352,0.088,2.954,-4.015,-4.015
"49",-0.641,3.442,1.698,7.413,0.827,6.824,3.008,2.626,6.401,-0.522,-0.641
"50",-5.215,-2.97,1.325,8.917,-0.61,7.581,-0.483,0.433,2.718,5.007,-5.215
"51",-3.729,-4.438,6.252,8.053,-1.085,8.425,-4.464,1.555,-2.914,9.151,-4.464
"52",0.984,1.561,4.11,9.082,4.037,10.929,-7.276,0.159,-2.394,4.309,-7.276
"53",-1.941,1.379,4.371,10.045,6.006,12.322,-6.217,-5.856,1.139,3.533,-6.217
"54",1.363,-2.837,-2.962,10.427,10.673,4.184,-2.268,-3.672,2.7,7.302,-3.672
"55",0.578,0.823,-0.341,9.967,7.573,10.548,-9.405,-1.266,7.177,5.828,-9.405
"56",-1.47,-0.91,1.363,9.562,1.057,9.274,-6.485,4.061,8.416,-0.462,-6.485
"57",-1.346,-3.22,2.548,8.876,-0.327,6.102,-0.383,-3.722,6.953,1.509,-3.722
"58",2.815,0.742,5.599,7.918,0.572,4.988,5.236,-2.479,8.287,2.485,-2.479
"59",3.158,3.976,0.186,4.748,1.42,0.683,0.007,-3.681,6.238,5.046,-3.681
"60",-1.925,3.916,0.907,0.321,1.542,-0.925,-1.746,-2.562,7.45,-0.205,-2.562
"61",-3.032,0.22,5.168,4.498,1.953,5.375,-4.586,-2.696,4.638,-0.324,-4.586
"62",-1.492,-1.04,6.049,5.073,-0.155,5.391,-5.543,-0.943,1.73,5.344,-5.543
"63",-0.208,-0.437,2.11,5.024,-0.584,1.514,4.447,-3.274,0.456,5.767,-3.274
"64",1.809,1.639,4.832,4.272,4.865,4.233,7.198,-1.347,-0.108,0.123,-1.347
"65",1.28,2.465,7.868,3.938,7.012,9.725,6.718,-1.355,5.92,0.049,-1.355
"66",5.156,2.612,7.322,4.086,6.111,7.719,7.927,-0.873,4.861,-0.495,-0.873
"67",8.564,2.184,2.605,3.449,8.209,1.521,5.281,2.246,5.529,2.738,1.521
"68",5.628,-0.057,4.478,7.917,7.159,1.326,3.879,2.414,5.486,4.098,-0.057
"69",3.252,1.815,-1.277,3.218,3.725,1.286,2.292,3.079,5.038,0.747,-1.277
"70",-0.786,4.769,-0.088,5.207,0.277,1.977,8.321,0.95,6.625,5.013,-0.786
"71",-1.108,3.42,-1.571,7.081,1.262,4.106,12.566,1.158,-0.331,10.22,-1.571
"72",0.385,-1.16,-1.226,5.004,5.585,6.529,10.141,1.779,-0.962,4.887,-1.226
"73",-0.265,-0.244,-0.884,8.062,2.827,3.238,8.582,1.26,-0.038,0.67,-0.884
"74",0.15,0.431,3.529,6.206,1.695,-0.421,7.592,0.195,-1.364,2.407,-1.364
"75",3.583,0.846,4.811,4.31,0.434,1.693,5.142,-0.508,-0.226,-0.172,-0.508
"76",5.524,2.016,8.498,0.533,0.436,1.87,-3.135,-0.167,-2.487,-0.157,-3.135
"77",-3.987,3.014,8.471,-2.377,-1.572,3.609,-3.195,5.522,-2.532,3.282,-3.987
"78",0.358,1.808,4.768,3.555,-2.007,1.233,-6.218,2.882,4.188,2.401,-6.218
"79",0.413,1.267,3.418,6.71,4.217,1.489,-4.642,3.107,8.17,2.715,-4.642
"80",7.44,1.603,5.216,3.856,2.132,1.647,0.616,-1.523,4.668,1.703,-1.523
"81",-1.316,1.579,9.644,3.209,-2.757,0.803,-4.076,-1.861,6.427,2.113,-4.076
"82",0.607,2.289,7.041,4.426,0.875,3.734,-1.395,3.006,10.561,0.25,-1.395
"83",3.628,3.231,3.731,3.258,5.838,0.712,0.311,0.896,10.285,0.858,0.311
"84",2.235,2.531,4.359,5.86,2.12,2.614,2.7,2.137,9.704,-0.012,-0.012
"85",1.695,5.205,3.523,1.624,-1.966,4.333,-0.625,4.232,5.144,3.423,-1.966
"86",2.04,2.92,5.908,0.768,-0.182,1.768,-0.579,7.04,6.073,10.785,-0.579
"87",4.735,2.348,5.806,3.006,-0.498,5.132,2.546,4.367,10.28,7.841,-0.498
"88",3.364,3.079,2.09,5.103,-2.456,1.386,6.129,2.895,8.192,2.539,-2.456
"89",3.089,4.725,1.8,5.321,-1.177,1.016,9.787,1.101,6.961,-0.528,-1.177
"90",1.39,5.525,0.598,7.057,0.253,-0.52,11.39,-0.99,9.155,0.239,-0.99
"91",4.162,2.577,0.588,6.645,-2.942,-1.208,10.217,-1.11,6.07,3.825,-2.942
"92",2.7,2.604,3.313,8.995,-1.705,-0.483,3.535,-2.626,0.077,5.281,-2.626
"93",4.727,9.155,2.975,7.165,5.235,2.46,4.966,-0.815,1.226,1.499,-0.815
"94",3.528,5.486,3.176,6.051,5.022,2.73,4.341,-3.191,1.625,0.456,-3.191
"95",3.481,2.552,1.931,4.928,10.014,5.295,4.411,-0.266,0.26,1.664,-0.266
"96",-0.94,4.248,5.373,1.2,11.025,3.679,2.511,2.031,1.131,2.367,-0.94
"97",2.35,2.711,4.351,4.975,9.736,3.604,4.834,3.479,5.329,4.129,2.35
"98",5.237,0.468,5.102,5.193,9.203,5.676,9.444,4.525,6.219,8.179,0.468
"99",8.196,-2.87,6.18,4.756,8.605,5.295,5.889,5.818,3.4,8.631,-2.87
"100",9.293,0.164,6.729,9.017,4.569,3.04,6.281,3.659,-0.408,4.606,-0.408
"101",8.555,0.711,5.729,4.983,1.715,3.008,3.505,3.642,-0.889,4.717,-0.889
"102",8.433,1.861,4.586,3.961,0.549,3.675,3.082,4.348,0.849,4.226,0.549
"103",10.4,0.764,3.564,4.334,-2.512,0.965,4.397,4.372,0.608,6.225,-2.512
"104",7.012,1.056,3.079,3.49,4.321,1.246,2.547,4.707,3.6,4.26,1.056
"105",6.548,2.786,1.853,2.493,3.385,7.663,3.48,4.295,6.271,1.771,1.771
"106",8.408,3.221,2.362,4.172,4.921,8.648,1.431,4.967,8.128,2.503,1.431
"107",9.293,9.584,1.591,4.666,4.697,5.422,3.755,7.378,7.943,5.68,1.591
"108",9.676,10.881,1.948,4.174,6.525,3.052,4.059,9.003,1.035,3.074,1.035
"109",9.12,8.069,5.507,6.172,13.508,3.806,5.265,2.283,4.544,0.719,0.719
"110",8.101,4.785,5.29,5.012,7.976,9.481,5.953,4.691,4.663,2.691,2.691
"111",10.777,3.528,5.889,9.043,7.45,1.296,3.75,6.482,3.566,5.842,1.296
"112",8.491,1.49,6.353,9.237,4.471,2.537,4.429,4.293,2.932,4.61,1.49
"113",2.881,3.745,5.042,7.384,2.42,6.207,5.757,3.245,4.538,3.87,2.42
"114",3.803,4.451,6.933,5.745,2.536,6.422,5.752,2.896,6.082,4.179,2.536
"115",7.838,4.823,4.479,9.527,2.611,3.119,1.494,4.214,2.932,4.331,1.494
"116",4.354,6.327,3.637,10.645,2.57,2.469,2.006,1.766,2.641,3.474,1.766
"117",3.49,9.725,2.431,8.586,3.777,2.251,1.923,4.781,0.297,2.541,0.297
"118",5.318,6.733,4.982,7.354,4.996,0.899,1.652,2.93,3.249,4.451,0.899
"119",3.92,5.85,6.909,7.319,5.717,0.13,5.437,4.788,1.694,4.408,0.13
"120",7.371,5.767,2.79,3.225,3.894,6.504,5.781,6.277,-0.604,5.289,-0.604
"121",7.913,4.363,7.329,5.272,5.843,8.888,5.078,7.075,2.976,2.69,2.69
"122",10.147,5.455,5.024,5.436,4.167,9.343,3.399,6.509,4.138,4.366,3.399
"123",9.608,5.454,12.536,4.943,2.339,5.602,3.133,6.096,5.432,5.559,2.339
"124",5.093,2.431,9.294,4.814,3.168,1.262,7.078,5.343,6.373,6.305,1.262
"125",7.443,2.924,8.118,4.861,4.314,4.227,7.952,6.778,4.006,4.915,2.924
"126",8.236,4.039,5.381,3.918,2.613,1.963,6.15,6,4.406,5.51,1.963
"127",5.396,3.737,5.059,4.386,2.66,1.8,2.838,7.896,5.927,4.946,1.8
"128",4.859,3.343,7.524,5.457,7.118,4.492,3.146,7.087,5.942,9.388,3.146
"129",6.2,2.634,5.004,5.945,6.681,3.361,3.822,9.201,3.25,5.582,2.634
"130",7.603,3.823,6.629,5.705,8.511,2.596,1.438,6.243,3.414,5.238,1.438
"131",7.042,3.51,5.969,4.487,10.753,3.438,2.842,5.066,1.661,7.604,1.661
"132",7.14,4.041,6.921,5.469,6.22,6.725,5.938,4.797,1.31,3.932,1.31
"133",8.835,4.121,6.083,7.32,8.504,8.801,6.176,5.74,2.545,4.678,2.545
"134",6.755,4.727,4.989,3.885,5.819,5.25,6.547,9.938,5.541,6.678,3.885
"135",4.013,3.023,8.285,4.399,3.587,6.8,5.23,9.01,9.248,5.767,3.023
"136",5.875,0.916,7.033,6.868,5.623,5.514,5.854,5.547,10.248,7.323,0.916
"137",7.99,0.585,8.811,5.225,4.649,4.971,6.027,5.205,6.18,6.416,0.585
"138",11.763,2,8.437,5.99,4.831,6.11,3.684,5.314,9.274,5.786,2
"139",5.912,4.085,6.593,10.058,4.915,8.78,3.881,4.166,10.036,4.653,3.881
"140",0.318,4.718,7.067,8.576,4.926,8.985,7.346,5.201,9.178,4.22,0.318
"141",2.173,4.218,6.176,7.013,6.16,9.024,5.426,4.768,8.696,7.11,2.173
"142",3.977,9.234,3.833,6.287,2.868,8.038,10.858,5.97,5.046,7.945,2.868
"143",6.343,13.219,6.378,6.544,4.65,6.724,10.76,5.922,4.776,8.568,4.65
"144",4.028,11.051,9.496,7.062,6.854,2.739,9.538,4.194,7.371,8.373,2.739
"145",5.034,7.814,9.171,6.612,9.063,2.926,10.218,3.613,4.719,7.83,2.926
"146",4.143,9.245,9.886,8.487,8.773,6.575,6.981,5.572,6.422,7.901,4.143
"147",5.611,7.658,6.287,7.753,5.278,4.98,6.719,8.162,9.89,9.631,4.98
"148",6.319,9.025,5.406,10.173,4.203,4.158,8.945,6.636,11.794,10.326,4.158
"149",7.525,7.493,7.099,10.283,4.307,2.074,11.537,6.696,9.284,10.035,2.074
"150",6.326,7.476,8.765,8.913,3.928,2.242,11.618,7.918,5.919,7.073,2.242
"151",6.775,4.879,8.231,9.743,7.14,4.01,8.817,5.973,7.518,9.686,4.01
"152",7.953,3.319,8.09,10.538,10.252,5.494,11.96,5.761,7.483,11.894,3.319
"153",8.806,5.997,8.087,5.883,8.122,7.588,11.214,4.811,8.237,9.88,4.811
"154",7.196,6.294,8.933,6.384,9.661,8.299,12.477,6.3,5.774,8.261,5.774
"155",8.361,11.406,6.122,8.426,8.506,10.706,12.002,9.414,10.355,6.736,6.122
"156",7.55,10.976,9.525,9.017,10.396,10.636,9.27,10.866,11.764,9.017,7.55
"157",8.022,6.878,9.771,9.783,8.885,12.535,6.2,8.36,11.643,9.613,6.2
"158",7.74,3.967,9.994,10.261,7.288,13.599,8.396,11.313,10.15,7.614,3.967
"159",8.852,5.579,7.477,10.066,5.045,11.258,6.649,12.246,7.962,6.042,5.045
"160",8.101,4.197,7.573,7.1,6.403,12.418,5.085,11.026,10.301,8.092,4.197
"161",8.411,5.978,7.385,8.686,6.335,10.069,5.893,6.313,9.28,10.116,5.893
"162",11.641,6.143,7.384,7.983,9.547,10.906,7.001,10.555,12.466,7.572,6.143
"163",12.597,4.999,7.886,6.804,6.071,10.745,6.77,7.116,11.205,8.497,4.999
"164",10.524,4.929,8.94,7.455,3.831,7.275,6.835,7.771,10.302,8.37,3.831
"165",10.929,6.797,8.449,8.907,7.009,7.881,11.033,11.679,9.852,7.341,6.797
