Points,Latitude,Longitude,County
MERCED4,36.80725,-120.973768,MERCED
MADERA0,37.237126,-119.694963,MADERA
MADERA1,37.705118,-119.336404,MADERA
MADERA2,37.021195,-120.476174,MADERA
MADERA3,37.572181,-119.103794,MADERA
MADERA4,36.820104,-120.277434,MADERA
FRESNO0,36.9796,-119.240523,FRESNO
FRESNO1,37.152658,-119.299573,FRESNO
FRESNO2,36.753212,-120.699855,FRESNO
FRESNO3,36.153774,-120.171712,FRESNO
FRESNO4,36.718833,-119.281156,FRESNO
TULARE0,36.108228,-118.868058,TULARE
TULARE1,36.636645,-118.766803,TULARE
TULARE2,36.488428,-119.486423,TULARE
TULARE3,35.876133,-119.486979,TULARE
TULARE4,35.85716,-118.101129,TULARE
KINGS0,36.085735,-119.880666,KINGS
KINGS1,36.382552,-119.607692,KINGS
KINGS2,36.321878,-119.920087,KINGS
KINGS3,35.812133,-119.878964,KINGS
KINGS4,36.001039,-119.569873,KINGS
KERN0,35.493272,-118.85968,KERN
KERN1,35.72012,-119.184958,KERN
KERN2,35.693556,-119.957982,KERN
KERN3,34.891931,-119.198367,KERN
KERN4,35.071516,-117.702409,KERN
VENTURA0,34.343822,-119.136256,VENTURA
VENTURA1,34.747376,-118.938568,VENTURA
VENTURA2,34.740278,-119.427103,VENTURA
VENTURA3,34.378297,-119.414454,VENTURA
VENTURA4,34.206209,-118.72106,VENTURA
